LP,3,43,21.01785487
MIP,3,617540,19.69
LP,1,43,20.97177474
MIP,1,631343,19.69
LP,2,156,21.10698116
MIP,2,674191,19.95
LP,6,47,25.46495239
MIP,6,771668,24.34
LP,9,105,17.58410306
MIP,9,2212996,16.69
LP,8,38,22.31692451
MIP,8,2682650,21.84
LP,4,43,24.69419248
MIP,4,3196097,23.95
LP,187,462,19.87411977
LP,37,72,23.68646749
LP,10,53,20.4430638
MIP,10,3540877,19.86
LP,173,52,24.76181811
MIP,173,45361,22.86
LP,183,74,23.91385382
MIP,183,88694,22.12
LP,172,51,19.76742023
MIP,172,87982,18.19
LP,128,57,18.70840673
MIP,128,84355,16.51
LP,123,46,23.25473156
MIP,123,84900,16.51
LP,122,48,18.69211814
MIP,122,88531,16.51
LP,143,108,20.6470362
MIP,143,89618,18.99
LP,129,48,23.30041699
MIP,129,90740,16.51
LP,103,52,18.77372345
MIP,103,90729,16.71
LP,250,56,21.03824515
LP,252,54,21.03824515
LP,248,54,21.03824515
LP,32,45,25.03887134
MIP,32,100853,15.81
LP,31,45,17.20309256
LP,105,86,18.85377471
MIP,31,101865,15.81
MIP,105,100563,16.71
LP,217,61,23.05604387
LP,39,188,21.61824375
MIP,39,102944,15.81
LP,116,46,18.40431835
MIP,116,102060,15.83
LP,107,53,18.26648194
MIP,107,111743,17.65
LP,118,55,26.38863843
MIP,118,102238,25.27
LP,108,56,22.71547322
MIP,108,103098,25.27
LP,119,45,19.92634394
MIP,119,103951,25.27
LP,101,41,20.20339236
MIP,101,104083,15.83
LP,121,61,21.5796625
MIP,121,104651,15.83
LP,125,47,22.07142715
MIP,125,105252,25.27
LP,112,161,25.78908434
MIP,112,105725,15.83
LP,102,55,22.62975385
MIP,102,107659,15.83
LP,127,41,23.03350152
MIP,127,107836,25.27
LP,52,68,23.11830701
MIP,52,111934,22.05
LP,40,53,25.02156331
MIP,40,112603,23.76
LP,132,40,22.09852011
MIP,132,116270,20.46
LP,145,51,19.84381366
MIP,145,121375,23.76
LP,65,50,21.27400192
MIP,65,169772,18.93
LP,80,111,26.32252577
MIP,80,171265,18.93
LP,89,52,22.16566178
MIP,89,173490,18.93
LP,76,47,21.82996047
MIP,76,174020,18.93
LP,19,106,20.31456348
MIP,19,178988,18.09
LP,15,44,17.65000716
MIP,15,216641,17.01
LP,155,45,19.58834764
MIP,155,234497,15.49
LP,16,59,17.30927474
MIP,16,225307,16.45
LP,160,182,20.16313127
MIP,160,238011,15.49
LP,436,50,18.01958307
MIP,436,91067,15.05
LP,134,44,22.54439093
MIP,134,241878,23.92
LP,137,47,25.00735727
MIP,137,246157,23.92
LP,111,47,16.62857968
MIP,111,258191,15.54
LP,294,58,21.61995949
MIP,294,266101,20.04
LP,444,55,21.16587275
MIP,444,106105,19.69
LP,152,89,24.49283398
MIP,152,295033,23.74
LP,398,46,19.98618139
MIP,398,288095,20.64
LP,22,49,21.58824924
MIP,22,295542,20.2
LP,399,38,21.92451039
MIP,399,294487,20.64
LP,209,44,22.43293974
MIP,209,308449,20.52
LP,23,46,20.94761239
MIP,23,317868,20.18
LP,140,53,18.01627578
MIP,140,333786,17.02
LP,135,81,25.452287
MIP,135,345626,17.61
LP,422,71,24.1941549
MIP,422,208997,23.33
LP,258,39,26.16142253
MIP,258,254275,23.97
LP,420,48,21.71504027
MIP,420,210070,23.33
LP,139,45,19.247149
MIP,139,350334,17.61
LP,447,64,21.77730121
MIP,447,129187,20.74
LP,11,55,19.75060234
MIP,11,364959,18.06
LP,371,58,23.52133371
MIP,371,262882,17.11
LP,130,54,22.98980911
